System,Period (days),V,Spectral type,Mass (Msun),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),[M/H],,,B-V,Sec Spectral type,Sec Mass (Msun ),Sec Radius (Rsun),Sec Surface gravity (cgs),Sec Log Teff (K),Sec log (L/Lsun),(dex),
OGLE-LMC-ECL-09678,114.45,17.22,G4_III,2.400 ± 0.029,13.77 ± 0.16,2.540 ± 0.010,3.719 ± 0.007,2.107 ± 0.027,-0.38,,,1.2,G9_III,2.549 ± 0.031,30.60 ± 0.28,1.873 ± 0.008,3.673 ± 0.008,2.616 ± 0.035,± 0.16,
V396 Cas,5.505,9.56,A1_V,2.398 ± 0.022,2.592 ± 0.013,3.990 ± 0.004,3.965 ± 0.007,1.642 ± 0.028,,,,0.06,A3_V,1.901 ± 0.016,1.779 ± 0.010,4.216 ± 0.005,3.932 ± 0.006,1.183 ± 0.024,,
β Aur,3.96,1.89,A1_Vm,2.376 ± 0.027,2.762 ± 0.017,3.932 ± 0.005,3.971 ± 0.009,1.721 ± 0.038,,,,0.04,A1_Vm,2.291 ± 0.027,2.568 ± 0.017,3.979 ± 0.005,3.964 ± 0.009,1.630 ± 0.038,,
OGLE-SMC-ECL-3529,234.326,17.12,F8_III,2.36 ± 0.03,12.6 ± 0.4,2.61 ± 0.03,3.766 ± 0.007,2.220 ± 0.042,-0.93,,,0.8,G3_III,2.48 ± 0.05,21.1 ± 0.3,2.18 ± 0.01,3.723 ± 0.015,2.498 ± 0.061,± 0.10,
GG Ori,6.631,10.43,A2_V,2.342 ± 0.016,1.852 ± 0.025,4.272 ± 0.012,3.998 ± 0.009,1.480 ± 0.037,,,,0.49,A2_V,2.338 ± 0.017,1.830 ± 0.025,4.282 ± 0.012,3.998 ± 0.009,1.470 ± 0.037,,
V541 Cyg,15.338,10.44,B9.5_V,2.335 ± 0.015,1.859 ± 0.011,4.2675 ± 0.0051,4.027 ± 0.008,1.601 ± 0.033,,,,-0.06,B9.5_V,2.260 ± 0.015,1.808 ± 0.014,4.2770 ± 0.0064,4.015 ± 0.008,1.528 ± 0.035,,
V364 Lac,7.352,8.36,A7_m,2.333 ± 0.015,3.307 ± 0.038,3.767 ± 0.010,3.917 ± 0.008,1.657 ± 0.033,,,,0.18,A7_m,2.296 ± 0.025,2.985 ± 0.035,3.849 ± 0.011,3.929 ± 0.008,1.620 ± 0.032,,
SZ Cen,4.108,8.48,A7_V,2.317 ± 0.026,4.554 ± 0.032,3.486 ± 0.008,3.875 ± 0.017,1.77 ± 0.07,,,,0.22,A7_V,2.277 ± 0.021,3.624 ± 0.026,3.677 ± 0.007,3.892 ± 0.017,1.64 ± 0.07,,
V624 Her,3.895,6.2,A3_Vm,2.282 ± 0.015,3.030 ± 0.034,3.834 ± 0.010,3.911 ± 0.008,1.56 ± 0.03,,,,0.14,A7_V,1.881 ± 0.013,2.209 ± 0.034,4.024 ± 0.014,3.900 ± 0.008,1.24 ± 0.04,,
OGLE-SMC-ECL-0439,279.266,18.06,G2_III,2.27 ± 0.03,14.5 ± 0.5,2.47 ± 0.03,3.720 ± 0.008,2.158 ± 0.042,-1.25,,,0.9,G2_III,2.29 ± 0.03,15.4 ± 0.5,2.42 ± 0.03,3.721 ± 0.008,2.215 ± 0.043,± 0.08,
